scorer,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000
bodyparts,wrist,wrist,wrist,palm,palm,palm,thumb1,thumb1,thumb1,thumb2,thumb2,thumb2,thumb3,thumb3,thumb3,index1,index1,index1,index2,index2,index2,index3,index3,index3,middle1,middle1,middle1,middle2,middle2,middle2,middle3,middle3,middle3,ring1,ring1,ring1,ring2,ring2,ring2,ring3,ring3,ring3,little1,little1,little1,little2,little2,little2,little3,little3,little3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,416.5730392932892,509.9296407699585,1.0,348.64085525274277,465.52555799484253,1.0,374.91621017456055,404.23023891448975,1.0,346.98817205429077,381.37746238708496,1.0,258.79819202423096,364.14917373657227,1.0,320.9812698364258,407.8102054595947,0.0005354881286621094,257.732693195343,382.0014431476593,1.0,303.4334111213684,406.4898364543915,1.0,307.9920487757772,433.57739639282227,0.03300502896308899,240.41272068023682,405.11124420166016,1.0,297.04942750930786,434.45438051223755,1.0,303.30988216400146,467.73308393359184,0.0095137357711792,236.6060037612915,459.38777923583984,1.0,289.6932444572449,465.99616718292236,1.0,289.2174508571625,511.63713455200195,0.00017595291137695312,241.9753155708313,503.7890968322754,1.0,288.4608316421509,492.59298610687256,1.0
9,416.5730392932892,509.9296407699585,1.0,348.64085525274277,465.52555799484253,1.0,374.91621017456055,404.23023891448975,1.0,346.98817205429077,381.37746238708496,1.0,258.79819202423096,364.14917373657227,1.0,320.9812698364258,407.8102054595947,0.0007122457027435303,257.732693195343,382.0014431476593,1.0,303.4334111213684,406.4898364543915,1.0,308.5830243229866,433.57739639282227,0.01807299256324768,240.41272068023682,405.11124420166016,1.0,297.04942750930786,434.45438051223755,1.0,307.1291499733925,467.73308393359184,0.1173933744430542,238.52532386779785,459.38777923583984,1.0,293.8138966560364,465.99616718292236,1.0,292.93428391218185,511.63713455200195,0.0005510151386260986,244.5112600326538,503.7890968322754,1.0,293.40887916088104,492.59298610687256,1.0
10,415.57197070121765,514.7541972398758,1.0,348.64085525274277,471.1559319496155,1.0,374.6831431388855,406.5336184501648,1.0,346.98817205429077,384.2638659477234,1.0,258.79819202423096,364.14917373657227,1.0,320.9812698364258,409.54475450515747,0.004457205533981323,257.732693195343,385.2980670928955,1.0,303.4334111213684,408.56482696533203,1.0,308.5830243229866,437.28957176208496,0.010993033647537231,240.41272068023682,410.29710817337036,1.0,297.04942750930786,439.9519233703613,1.0,307.1291499733925,472.16995000839233,0.06606370210647583,238.52532386779785,466.1426959037781,1.0,293.8138966560364,470.9183497428894,1.0,292.93428391218185,517.6492654085159,0.007557898759841919,246.75557470321655,510.638854265213,1.0,295.00995683670044,499.07652378082275,1.0
11,412.99529153108597,519.7327604293823,1.0,346.3984622955322,477.974494099617,1.0,367.7817351818085,414.4883453845978,1.0,342.12392926216125,394.2475233078003,1.0,257.1997489929199,371.87647008895874,1.0,319.7678611278534,414.1189913749695,0.18196141719818115,255.75502610206604,394.6374583244324,1.0,301.7828426361084,417.8506259918213,1.0,308.5830243229866,446.3752875328064,0.07415610551834106,238.37973761558533,421.57392394542694,1.0,296.9209442138672,448.97499227523804,1.0,307.1291499733925,483.02874141931534,0.3385489583015442,238.52532386779785,477.88087272644043,1.0,293.8138966560364,481.4385118484497,1.0,293.64373672008514,526.8299317359924,0.0013737678527832031,246.98528361320496,521.3467125892639,1.0,295.00995683670044,509.8987709283829,1.0
12,408.8141007423401,526.856826543808,1.0,342.6021890640259,487.25758147239685,1.0,361.09233713150024,421.9863314628601,1.0,334.4368214607239,403.5232558250427,1.0,252.5500831604004,384.23939180374146,1.0,316.8323524594307,423.0767045021057,0.947589635848999,250.60222721099854,406.88524413108826,1.0,295.9999647140503,426.9043836593628,1.0,305.2229845523834,451.1730174422264,0.5425063967704773,235.18858349323273,435.60852575302124,1.0,290.1472878456116,458.9068970680237,1.0,305.6397807598114,491.35965955257416,0.05038076639175415,237.7920217514038,488.4297800064087,1.0,289.7419295310974,490.9524474143982,1.0,294.08046531677246,535.0458347797394,0.002927929162979126,246.98528361320496,531.6285066604614,1.0,295.00995683670044,519.2413034439087,1.0
13,404.6682121157646,532.3084797859192,1.0,338.0053355693817,495.74010157585144,1.0,354.9160957336426,429.9798073768616,1.0,328.9912905693054,411.7771825790405,1.0,248.22717905044556,391.8450300693512,1.0,312.4825038909912,433.7900564670563,0.8082001805305481,246.78992867469788,415.94016313552856,1.0,291.3433680534363,436.6304588317871,1.0,300.7477545142174,459.27335327863693,0.9804536700248718,231.05916786193848,448.0882616043091,1.0,286.2943344116211,467.77196645736694,1.0,302.7376539707184,502.38034224510193,0.3439951539039612,235.55724239349365,501.3580790758133,1.0,286.13976073265076,503.0122995376587,1.0,297.4229576587677,545.2418875694275,0.024510741233825684,246.98528361320496,543.2988865375519,1.0,292.1871998012066,532.019850730896,1.0
14,399.35893869400024,538.8114306926727,1.0,335.8552477359772,507.42085832357407,1.0,348.2996139526367,439.1977860927582,1.0,321.90652561187744,421.6321393251419,1.0,245.17615592479706,405.690860748291,1.0,305.2427201271057,445.4458854198456,0.6759650707244873,241.64670324325562,429.4177041053772,1.0,286.55032992362976,449.16414308547974,1.0,295.0900630950928,477.5020670890808,0.6331915259361267,227.4930390715599,465.62627267837524,1.0,282.13773012161255,482.70787954330444,1.0,299.62599608302116,516.68442684412,0.7902122735977173,233.3708095550537,516.6442427635193,1.0,284.625168800354,516.4865919053555,1.0,299.4007529616356,558.2680110931396,0.04394108057022095,246.98528361320496,558.7044458389282,1.0,291.25557136535645,545.9729838371277,1.0
15,393.7326412200928,549.0800678730011,1.0,329.58907175064087,524.4292421340942,1.0,335.36284852027893,453.0730059146881,1.0,302.9743666648865,437.0182728767395,1.0,236.49737510085106,428.70673084259033,1.0,295.94547867774963,464.18139696121216,0.36613792181015015,231.46816754341125,453.64420461654663,1.0,278.570992231369,467.4436855316162,1.0,289.8212115764618,496.3411159515381,0.9092480540275574,220.53615993261337,491.31194162368774,1.0,276.0452745333314,501.20805835723877,1.0,297.3772773742676,533.369003534317,0.7451579570770264,233.3708095550537,537.5378456115723,1.0,281.9292645454407,534.6926794052124,1.0,302.2268958091736,574.3864147663116,0.239242285490036,246.98528361320496,576.6017212867737,1.0,291.25557136535645,564.2081565856934,1.0
16,382.50230407714844,567.4492418766022,1.0,323.9930298421532,546.0067772865295,1.0,319.7076003551483,475.0239496231079,1.0,286.01661229133606,460.16122379899025,1.0,229.07164692878723,456.7327709197998,1.0,284.9751823544502,485.65091490745544,0.9953966736793518,220.42569828033447,480.1158676147461,1.0,267.9094138145447,490.7308052778244,1.0,283.86464466154575,517.9838166236877,0.5831165909767151,216.31336116790771,523.9309706687927,1.0,267.6854639053345,525.8833341598511,1.0,297.3772773742676,556.5102960467339,0.17442193627357483,233.3708095550537,565.393741607666,1.0,281.36945104599,556.9724988937378,1.0,306.10437655448914,592.5245218276978,0.5944661498069763,250.70841312408447,600.7248759269714,1.0,291.25557136535645,584.8009057044983,1.0
17,372.59931296110153,584.8715291023254,1.0,319.8511266708374,568.6135153770447,1.0,303.43626165390015,499.371524810791,1.0,272.1380681991577,488.5740714073181,1.0,215.8845453262329,490.8588390350342,1.0,276.66316586732864,515.2130867242813,0.2714879810810089,211.18696403503418,513.5260272026062,1.0,258.5873169898987,522.6061601638794,1.0,279.65052580833435,549.7176803350449,0.0004272162914276123,212.83981239795685,555.7160730361938,1.0,264.9690203666687,554.7323999404907,1.0,297.3772773742676,580.0771283134818,9.223818778991699e-05,235.01785612106323,589.2203203439713,1.0,281.36945104599,579.147274851799,1.0,306.10437655448914,611.5786378383636,0.39356759190559387,256.01792573928833,623.4810452461243,1.0,293.75334215164185,606.1796097755432,1.0
