scorer,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000
bodyparts,wrist,wrist,wrist,palm,palm,palm,thumb1,thumb1,thumb1,thumb2,thumb2,thumb2,thumb3,thumb3,thumb3,index1,index1,index1,index2,index2,index2,index3,index3,index3,middle1,middle1,middle1,middle2,middle2,middle2,middle3,middle3,middle3,ring1,ring1,ring1,ring2,ring2,ring2,ring3,ring3,ring3,little1,little1,little1,little2,little2,little2,little3,little3,little3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,380.13939432799816,565.8211377859116,1.0,315.74836054444313,541.2753009796143,1.0,336.37378215789795,462.72190618515015,1.0,288.94480895996094,450.4925490617752,1.0,218.6608386039734,412.7803010940552,1.0,271.8933856487274,472.51126861572266,1.0,245.2346887588501,465.8497004508972,1.0,210.2437105178833,457.4232201576233,1.0,263.2921476364136,511.933922290802,1.0,228.2612340450287,506.0425100326538,1.0,193.94930410385132,500.17291831970215,1.0,262.3851013183594,548.2673555314541,1.0,236.5580232143402,546.9879078865051,1.0,198.64178729057312,534.5349831581116,1.0,271.27257442474365,588.2588481903076,1.0,242.43963432312012,585.6219320297241,1.0,213.79345667362213,568.1208519935608,1.0
9,380.13939432799816,565.8211377859116,1.0,315.74836054444313,541.2753009796143,1.0,336.37378215789795,462.72190618515015,1.0,288.94480895996094,450.4925490617752,1.0,218.6608386039734,412.7803010940552,1.0,271.8933856487274,472.51126861572266,1.0,245.2346887588501,465.8497004508972,1.0,210.2437105178833,457.4232201576233,1.0,263.2921476364136,511.933922290802,1.0,228.2612340450287,506.0425100326538,1.0,193.94930410385132,500.17291831970215,1.0,262.3851013183594,548.2673555314541,1.0,236.5580232143402,546.9879078865051,1.0,198.64178729057312,534.5349831581116,1.0,271.27257442474365,588.3209323883057,1.0,242.43963432312012,585.6219320297241,1.0,213.79345667362213,568.1208519935608,1.0
10,380.9311718940735,565.8467453718185,1.0,315.9285595715046,541.7748042345047,1.0,336.72677087783813,462.72190618515015,1.0,289.13639211654663,450.9432760477066,1.0,218.6608386039734,412.7803010940552,1.0,272.20129346847534,472.51126861572266,1.0,245.42902970314026,465.9444885253906,1.0,210.2437105178833,457.43224906921387,1.0,263.4736819267273,511.933922290802,1.0,228.81675338745117,506.5023903846741,1.0,194.09148180484772,500.17291831970215,1.0,262.94167852401733,548.7405852079391,1.0,237.09856379032135,547.3634243011475,1.0,198.64178729057312,535.2133181095123,1.0,271.27257442474365,588.4207879900932,1.0,242.90437817573547,586.308979511261,1.0,214.51267862319946,568.9902029037476,1.0
11,381.7686343193054,566.8272223472595,1.0,317.0028167963028,542.5960869789124,1.0,337.3686258792877,463.33609080314636,1.0,289.84978675842285,451.5588963031769,1.0,219.75947234034538,413.63192081451416,1.0,272.82848834991455,473.2227520942688,1.0,245.65036845207214,466.37407064437866,1.0,211.10607290267944,457.9030451774597,1.0,264.27690410614014,512.3338303565979,1.0,228.8389920592308,506.95439624786377,1.0,194.69843339920044,501.13268661499023,1.0,263.7292742729187,549.2966039180756,1.0,237.24011099338531,548.2712383270264,1.0,199.4293885231018,535.7235519886017,1.0,271.80379128456116,588.9770261049271,1.0,242.9125131368637,587.5540490150452,1.0,215.18378448486328,569.1260190010071,1.0
12,381.7686343193054,566.8272223472595,1.0,317.0028167963028,542.6727259159088,1.0,337.61797046661377,463.33609080314636,1.0,289.974645614624,451.5588963031769,1.0,220.09099013358355,413.63192081451416,1.0,273.1037173271179,473.2227520942688,1.0,245.65036845207214,466.37407064437866,1.0,211.18155431747437,458.1814088821411,1.0,264.3327555656433,512.3440093994141,1.0,229.03025352954865,507.1580023765564,1.0,194.69843339920044,501.13268661499023,1.0,263.7292742729187,549.2966039180756,1.0,237.4187252521515,548.2712383270264,1.0,199.4293885231018,535.7235519886017,1.0,271.80379128456116,588.9770261049271,1.0,242.9125131368637,587.5540490150452,1.0,215.18378448486328,569.1260190010071,1.0
13,381.7686343193054,566.8272223472595,1.0,317.0028167963028,542.6727259159088,1.0,337.7815227508545,463.33609080314636,1.0,289.974645614624,451.5588963031769,1.0,220.09099013358355,413.63192081451416,1.0,273.364107131958,473.2227520942688,1.0,245.73183810710907,466.37407064437866,1.0,211.18155431747437,458.1814088821411,1.0,264.3327555656433,512.3440093994141,1.0,229.03025352954865,507.1580023765564,1.0,194.69843339920044,501.13268661499023,1.0,263.7292742729187,549.2966039180756,1.0,237.57602059841156,548.2712383270264,1.0,199.58402633666992,535.7235519886017,1.0,271.81208395957947,588.9770261049271,1.0,242.9125131368637,587.5540490150452,1.0,215.18378448486328,569.1260190010071,1.0
14,382.38797521591187,566.7726814746857,1.0,316.834136903286,542.6727259159088,1.0,337.61797046661377,463.0405502319336,1.0,289.974645614624,451.03779035806656,1.0,220.1172726675868,413.2907657623291,1.0,273.3746461868286,472.91588068008423,1.0,245.82739436626434,465.9926128387451,1.0,211.4779725074768,458.1814088821411,1.0,264.8930034637451,512.3440093994141,1.0,229.09229516983032,507.1580023765564,1.0,195.07691514492035,500.97682189941406,1.0,263.50797605514526,549.0701597929001,1.0,237.63074600696564,547.9412641525269,1.0,199.67874598503113,535.3616349697113,1.0,271.81208395957947,588.6660181283951,1.0,242.98765659332275,587.4348983764648,1.0,215.08196663856506,568.9807615280151,1.0
15,382.38797521591187,566.3077712059021,1.0,316.834136903286,541.6536785364151,1.0,337.61797046661377,462.14312195777893,1.0,289.974645614624,450.3311769962311,1.0,220.24918182194233,411.89219665527344,1.0,273.4755802154541,472.2771911621094,1.0,245.82739436626434,465.16750049591064,1.0,211.5630702972412,457.6508936882019,1.0,265.00233364105225,511.6611292362213,1.0,229.25093615055084,506.10506868362427,1.0,195.19633001089096,500.2872886657715,1.0,263.50797605514526,548.2387727200985,1.0,237.74024903774261,546.7852144241333,1.0,199.67874598503113,534.7479403018951,1.0,271.81208395957947,588.496844291687,1.0,242.98765659332275,585.4810433387756,1.0,215.08196663856506,567.7070558071136,1.0
16,382.52177810668945,565.046155333519,1.0,316.834136903286,540.5603423118591,1.0,337.7815227508545,461.1326788663864,1.0,289.974645614624,449.3566403388977,1.0,221.15466153621674,409.61286067962646,1.0,274.39952993392944,470.99170541763306,1.0,246.37372255325317,463.2387182712555,1.0,212.19011974334717,455.81847763061523,1.0,265.00233364105225,509.95922446250916,1.0,229.83524823188782,504.39713287353516,1.0,195.60375195741653,498.0505838394165,1.0,263.50797605514526,547.2618717551231,1.0,238.80001997947693,545.6934928894043,1.0,200.01755666732788,533.8171297311783,1.0,271.93097472190857,587.3942594528198,1.0,243.3516616821289,584.4712791442871,1.0,215.08196663856506,567.0812425613403,1.0
17,385.25278997421265,562.9074236154556,1.0,318.5116333961487,538.781430721283,1.0,339.66589188575745,459.29337549209595,1.0,292.14709232747555,446.9780812263489,1.0,223.45856618881226,407.01428270339966,1.0,276.4094956815243,468.970605969429,1.0,249.23910999298096,461.0420994758606,1.0,215.03183364868164,452.09930419921875,1.0,266.6778082847595,506.38768339157104,1.0,232.16919088363647,501.4574421644211,1.0,198.1734437942505,494.8316156864166,1.0,264.33190727233887,545.7712478637695,1.0,240.06867599487305,543.9671802520752,1.0,203.1752257347107,529.8508048057556,1.0,273.21009635925293,585.7671098709106,1.0,244.2342185974121,581.7726826667786,1.0,216.58933210372925,564.5748362541199,1.0
18,388.7429201602936,560.1426205635071,1.0,323.20326137542725,532.3847642540932,1.0,341.72547352313995,453.2750012874603,1.0,293.94107127189636,439.6734368801117,1.0,229.74589729309082,402.10023832321167,1.0,281.706178188324,463.0685439109802,1.0,254.00244426727295,453.99408769607544,1.0,219.21424007415771,443.76156328618526,1.0,271.92805647850037,498.9516987800598,1.0,235.75311061739922,492.8427963256836,1.0,202.45065259933472,486.87392592430115,1.0,269.11900770664215,539.6335819661617,1.0,241.64453220367432,536.2311487197876,1.0,205.81671559810638,523.3795628547668,1.0,275.8583661019802,579.1878528594971,1.0,246.27107977867126,576.4294791221619,1.0,219.1366548538208,558.6505603790283,1.0
19,394.0828900337219,554.3555018901825,1.0,326.9699716567993,525.0651162862778,1.0,344.49857473373413,444.87094831466675,1.0,297.22243452072144,427.3028073310852,1.0,239.02332043647766,389.3109107017517,1.0,286.853946685791,452.0187224522233,1.0,260.8655894994736,441.0708827972412,1.0,228.53857564926147,431.701691865921,1.0,277.25867569446564,488.86527252197266,1.0,235.75311061739922,483.5635108947754,1.0,210.07480347156525,474.25007486343384,1.0,272.2014605998993,529.5903310775757,1.0,244.26302406191826,525.1213998794556,1.0,211.50185251235962,512.3175268173218,1.0,278.4079566001892,569.731951713562,1.0,249.62739419937134,567.9109609127045,1.0,222.76498937606812,550.4349234104156,1.0
20,400.4815454483032,548.3335759043694,1.0,331.5987148284912,514.9513711929321,1.0,346.3523826599121,434.3115931749344,1.0,306.1505374908447,415.13815355300903,1.0,247.92026615142822,375.91202116012573,1.0,294.3785741329193,441.2830443382263,1.0,260.8655894994736,433.30280089378357,1.0,245.92351722717285,422.8487648963928,1.0,283.83064317703247,475.7226497232914,1.0,237.9145566225052,468.4658425152302,1.0,227.15518909692764,463.189151763916,0.9999933242797852,277.7945076227188,517.4704186916351,1.0,244.26302406191826,510.00175309181213,1.0,222.65017008781433,499.9311222881079,1.0,282.215163230896,559.9846563339233,1.0,249.62739419937134,555.6077687740326,1.0,232.63082242012024,537.6947069168091,1.0
21,408.67029428482056,541.7656985521317,1.0,335.946359872818,503.50134205818176,1.0,348.5191244482994,424.2017455101013,1.0,309.05988705158234,401.9885220527649,1.0,256.21704959869385,364.76032441854477,1.0,303.70215225219727,430.59660267829895,1.0,267.05449771881104,423.5421323776245,0.999975323677063,270.53781962394714,419.41306495666504,0.9999966621398926,292.4140383005142,463.13824677467346,1.0,242.98974227905273,450.7533999681473,0.9999996423721313,258.89895808696747,455.8252980709076,0.9996780753135681,283.16191202402115,503.26279735565186,1.0,246.87305569648743,498.093523979187,0.9999669790267944,245.04766654968262,488.32893085479736,0.9999997019767761,286.38526582717896,546.8702937364578,1.0,252.53015738725662,540.8725864887238,0.9999974370002747,244.52876138687134,526.5573122501373,0.9999999403953552
22,417.46389722824097,535.4341809749603,1.0,344.5197434425354,493.10804545879364,1.0,358.9132008552551,415.80445075035095,1.0,318.63639187812805,388.2213640511036,1.0,264.5138816833496,356.5104703903198,1.0,315.38466745615005,418.90558409690857,0.9999997615814209,268.71891140937805,391.17236256599426,1.0,296.1026349067688,418.2549993991852,1.0,301.9738484621048,453.86464858055115,0.9999628663063049,247.81451272964478,443.3643922805786,1.0,285.385395526886,451.96548556163907,0.9999998211860657,291.4483930468559,493.22327065467834,0.9998801946640015,250.11462247371674,483.17587250471115,1.0,277.99185168743134,486.18269515037537,1.0,290.2614370584488,535.7973344326019,0.634468674659729,256.59739685058594,526.0441615581512,1.0,275.0059617161751,515.9335561022162,1.0
