scorer,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000
bodyparts,wrist,wrist,wrist,palm,palm,palm,thumb1,thumb1,thumb1,thumb2,thumb2,thumb2,thumb3,thumb3,thumb3,index1,index1,index1,index2,index2,index2,index3,index3,index3,middle1,middle1,middle1,middle2,middle2,middle2,middle3,middle3,middle3,ring1,ring1,ring1,ring2,ring2,ring2,ring3,ring3,ring3,little1,little1,little1,little2,little2,little2,little3,little3,little3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,547.3137664794922,254.91630911827087,0.00013396143913269043,518.9416813850403,252.63048827648163,1.0,542.7998099327087,219.00209325551987,0.004238337278366089,539.3088883757591,151.82213258743286,0.0005120337009429932,521.3080554008484,51.72009542584419,0.09782886505126953,515.4197888970375,146.63171792030334,0.9976761937141418,515.0912508368492,78.70254182815552,0.926637589931488,499.63323479890823,66.94932913780212,0.9999970197677612,498.64614152908325,160.70770144462585,1.0,474.2580506801605,111.26687955856323,1.0,465.5023407936096,84.99324947595596,0.9999999403953552,453.545986533165,198.81462574005127,0.9999994039535522,432.6043529510498,166.0425581932068,1.0,427.3204517364502,124.95506602525711,1.0,431.936466217041,249.94220757484436,1.0,400.68374013900757,226.32678532600403,1.0,404.4062739908695,180.47490864992142,1.0
9,547.888418674469,254.91630911827087,0.0004876554012298584,518.9416813850403,252.63048827648163,0.9999996423721313,542.7998099327087,219.86013697087765,0.0008814334869384766,539.6641477644444,135.3091058731079,0.0008020102977752686,521.3080554008484,51.72009542584419,0.028454214334487915,525.0254814624786,144.01798939704895,0.9610471725463867,533.0993695259094,78.70254182815552,0.9696980714797974,521.6510050296783,59.814359322190285,0.9997662305831909,498.64614152908325,160.70770144462585,0.9992662668228149,478.5506765842438,111.26687955856323,0.9999286532402039,475.6522089242935,84.99324947595596,0.9874153733253479,453.545986533165,198.6734631061554,0.9999893307685852,432.6043529510498,166.0425581932068,0.9999990463256836,439.3904995918274,124.95506602525711,1.0,431.936466217041,249.94220757484436,1.0,400.68374013900757,226.32678532600403,1.0,409.59291791915894,180.47490864992142,0.9999997615814209
10,547.888418674469,254.91630911827087,0.0007554888725280762,518.9416813850403,252.63048827648163,0.9999985694885254,544.8882412910461,219.86013697087765,0.0013484954833984375,539.6641477644444,135.3091058731079,0.0005514025688171387,523.97868061997,51.72009542584419,0.1408976912498474,523.8476140797138,144.17388129234314,0.9081860780715942,533.0993695259094,78.70254182815552,0.9141172170639038,521.6510050296783,59.814359322190285,0.9961516261100769,498.64614152908325,160.70770144462585,0.9997732043266296,478.5506765842438,105.3309531211853,0.9998883008956909,475.6522089242935,84.99324947595596,0.9979308843612671,453.545986533165,198.6734631061554,0.9999946355819702,432.6043529510498,161.77120232582092,0.9999985694885254,439.3904995918274,124.95506602525711,0.9999998807907104,431.936466217041,249.94220757484436,1.0,400.68374013900757,218.0982506275177,1.0,409.59291791915894,180.47490864992142,0.9999995231628418
11,535.2794120311737,390.63617992401123,0.0011017322540283203,516.3469480574131,255.28911066055298,1.0,544.8882412910461,219.86013697087765,0.005192011594772339,539.6641477644444,135.3091058731079,0.0006455779075622559,540.5223498940468,47.69837665557861,0.09194588661193848,515.4197888970375,146.63171792030334,0.998521625995636,519.6804986000061,85.45696830749512,0.9561203718185425,506.87680172920227,66.94932913780212,0.9999097585678101,495.52148628234863,162.74422705173492,1.0,478.5506765842438,105.3309531211853,0.9982160329818726,475.6522089242935,94.82897090911865,0.9996955394744873,450.128084897995,198.6734631061554,0.9999995827674866,430.491238117218,161.77120232582092,0.9999998807907104,439.3904995918274,133.53056931495667,0.9999724626541138,425.82249546051025,250.54571342468262,1.0,394.68492329120636,218.0982506275177,1.0,409.59291791915894,188.3406000137329,0.9999998211860657
12,535.2794120311737,394.7519955635071,0.26706886291503906,498.5342652797699,261.373002409935,1.0,542.5807631015778,207.19182133674622,0.0028746426105499268,533.69289290905,135.3091058731079,0.08008116483688354,523.97868061997,71.67796611785889,0.004064023494720459,513.7960007190704,148.4874405860901,1.0,519.6804986000061,115.04100281000137,0.9999988079071045,493.05785715579987,96.66322541236877,1.0,472.5639786720276,176.5246307849884,0.9999994039535522,426.10905408859253,117.78301811218262,0.9999997615814209,466.0050172805786,134.53939771652222,0.9999895691871643,434.57370698451996,213.59039163589478,0.9999971389770508,388.048133905977,172.5219533443451,1.0,429.66405618190765,178.69768345355988,0.9999347925186157,407.41127920150757,267.4669685959816,1.0,361.09284019470215,230.13218712806702,0.9999985694885254,403.98679557815194,219.22146701812744,0.9999972581863403
13,535.2794120311737,395.46853917837143,0.9999997615814209,477.5506772994995,274.3320018053055,1.0,537.9404866695404,207.19182133674622,0.005787909030914307,533.69289290905,135.3091058731079,0.000570446252822876,467.7529134750366,91.40356510877609,0.0016644597053527832,492.09957790374756,164.66750329732895,1.0,480.0383257865906,146.3905827999115,0.02074575424194336,473.1399121284485,147.03134393692017,1.0,435.0283011198044,199.1840114593506,1.0,388.34990349411964,142.73383355140686,1.0,436.2974919974804,182.79852557182312,1.0,414.45063972473145,230.55443263053894,1.0,353.7322688102722,200.53041315078735,1.0,410.6844267845154,223.4126100540161,1.0,379.2862270474434,293.5097770690918,1.0,333.66726863384247,254.905606508255,1.0,384.11120414733887,259.2677854895592,1.0
14,517.7741456031799,403.14451521635056,1.0,442.6220055818558,302.754346370697,0.9999997019767761,530.1822557449341,207.19182133674622,1.0,512.4542469978333,153.92290425300598,0.9999954700469971,456.47904443740845,95.34617853164673,0.9999887943267822,444.5140909552574,201.7726926803589,0.9807379245758057,387.65243354439735,154.68545746803284,0.9990143775939941,433.7706003189087,192.43137860298157,0.9944607019424438,415.8571617603302,238.22818899154663,0.9992831945419312,341.9078469276428,191.8574936389923,0.9999647736549377,412.25055783987045,226.42877769470215,0.9999110698699951,391.02842950820923,279.7469906806946,0.9985986948013306,313.7048714160919,251.98026132583618,1.0,388.42333856225014,273.34103417396545,0.9999999403953552,349.98550510406494,331.15935212373734,0.9999995827674866,303.0054624080658,306.26504611968994,1.0,364.4386682510376,306.4020062685013,0.9999999403953552
15,488.2789068222046,419.33246952295303,1.0,399.2661786079407,330.78562116622925,0.999996542930603,461.9216569662094,232.78593635559082,1.0,432.8323702812195,196.9547900557518,0.9999992847442627,378.25817024707794,157.4279088973999,0.9907701015472412,405.1280139684677,251.86113637685776,0.05808207392692566,333.87613224983215,198.22468852996826,0.9819262027740479,397.671355843544,244.0835901349783,1.0,384.63156270980835,283.5293066203594,0.4005371332168579,296.16219091415405,253.46348655223846,0.9999752044677734,378.73706817626953,278.9001910686493,1.0,367.87784719467163,324.42344000935555,0.9871937036514282,281.1489872932434,301.9923003911972,1.0,364.654048204422,317.11977434158325,1.0,322.87003445625305,375.89778900146484,0.9999992847442627,275.5298832952976,354.69294834136963,1.0,341.5342581272125,353.4282159805298,1.0
16,456.7170352935791,440.1112356185913,1.0,361.6182804107666,369.4153015613556,0.9999999403953552,401.41768169403076,275.72420930862427,1.0,358.8892240524292,245.7028125524521,1.0,303.8507878780365,222.04351830482483,1.0,367.79052090644836,299.99341760901734,0.003362119197845459,280.6587085723877,263.59581303596497,1.0,353.488169670105,295.6870307922363,1.0,323.30152982473373,304.78133058547974,0.05668675899505615,258.5186176300049,306.7115259170532,1.0,342.42644476890564,327.0547595024109,1.0,338.5493540763855,371.48640608787537,0.8665152788162231,251.7633695602417,352.23950242996216,1.0,335.15012884140015,364.08621311187744,1.0,299.1046270728111,419.763414144516,0.9999918341636658,252.7697030901909,400.6779398918152,1.0,315.7944613546133,398.0272319316864,1.0
17,423.08962416648865,465.539222240448,1.0,331.6841630935669,410.3652687072754,0.9999998807907104,357.74040734767914,314.2766737937927,1.0,315.8549385070801,288.80040216445923,1.0,257.52357387542725,268.5965700149536,1.0,326.2925295829773,344.1841142177582,3.287196159362793e-05,245.4538221359253,307.47582817077637,1.0,315.1718422174454,339.47134828567505,1.0,294.9528286457062,375.8164677619934,0.00047460198402404785,224.45534658432007,361.2723197937012,1.0,309.9152384996414,371.3790864944458,1.0,310.7959370613098,404.48790645599365,0.009702801704406738,223.86058855056763,404.6581840515137,1.0,307.6660614013672,407.29935908317566,1.0,279.89707612991333,463.95384454727173,0.9998557567596436,227.90567333996296,451.587206363678,1.0,290.60321140289307,439.48896384239197,1.0
